date,TAT(no of dates),number of completion,util rate(%),attendance(%),number of backlog,number of requests
1 ,5.72,843,84.97,81 ,2987,627
2 ,5.55,872,84.42,90 ,2996,860.5
3 ,4.67,783,91.3,91 ,3173,1118
4 ,3.9,933.5,90.29,90 ,3141,883
5 ,4,809,88.06,90 ,3496,1160
6 ,3.81,812.5,94.87,93 ,2676,146
7 ,6.13,988.5,85.88,93 ,2100,228
8 ,4.69,769,86.6,77 ,2133,1161
9 ,7.23,762,79,75 ,2557,1273
10 ,7.23,700,79.48,74 ,2584,782
11 ,5.78,757.5,84.63,86 ,2845,974
12 ,4.48,937,81.9,83 ,2841,1642
13 ,2.83,909,82.21,87 ,2986,37
14 ,4.57,502,87.92,70 ,2603,16
15 ,7.87,1099,91.3,90 ,2793,974
16 ,5.13,1009,91.12,90 ,2733,806
17 ,6.55,739,86.47,93 ,3456,1434
18 ,6.4,526,83.3,100 ,3755,876
19 ,4.23,653,89.9,87 ,2786,31
20 ,4.07,714.5,83.13,97 ,3268,118
21 ,5.45,573.5,81.22,77 ,2715,94
22 ,4.95,767.5,84.53,83 ,3542,946
23 ,6.28,888.5,84.66,90 ,3796,1839
24 ,4.77,867,86.03,90 ,3689,724
25 ,4.1,609,88.63,82 ,4022,1134
26 ,2.72,1064,88.8,87 ,4874,2198
27 ,5.7,750,87.94,90 ,4189,80
28 ,6.07,964,86.22,87 ,3936,410
29 ,5.26,771,75.51,84 ,4264,1032
30 ,6.42,833,87.15,87 ,4611,1097
31 ,5.23,683,84.43,70 ,6927,2323.5
32 ,9.18,918,85.83,87 ,7001,1038
33 ,5.67,710,91.18,70 ,6534,640
34 ,6.98,621,82.34,87 ,5495,305
35 ,6.8,829,82.47,91 ,5095,0
36 ,8.58,829,82.47,81 ,5095,0
37 ,11.56,618,85.52,65 ,4598,46
38 ,14.13,626.5,87.77,76 ,4034,0
39 ,8.78,740,78.66,73 ,3369,186
40 ,12.15,769.5,73.31,83 ,3331,0
41 ,12.23,509.5,72.67,83 ,2869,0
42 ,11.36,508,73.84,90 ,2933,0
43 ,11.43,460,65.16,90 ,2495,577
44 ,9.01,652,80.22,87 ,3183,1529
45 ,8.11,1160,72.62,83 ,3122,969
46 ,7.45,804,92.03,83 ,2824,569
47 ,7.78,728,92.97,90 ,4373,2159
48 ,4.73,941,78.23,90 ,3543,102
49 ,7.5,804,82.95,90 ,4283,127
50 ,8.81,1145,84.91,57 ,2922,1507
51 ,3.57,992.5,88.74,81 ,3229,1096
52 ,5.6,629,91.12,97 ,3768,1200
53 ,4.25,810,91.12,86 ,4198,1096
54 ,5.45,592.5,95.13,97 ,5279,1320.5
55 ,5.68,750,84.1,83 ,4392,17
56 ,7.35,706,75.7,63 ,3844,3
57 ,5.68,429,70.15,73 ,3559,589
58 ,3.52,713.7,74.71,81 ,4797,1589
59 ,4.77,589.8,78.61,68 ,4878,734
60 ,7.49,709.7,87.15,93 ,5026,841
61 ,5.64,763.8,96.21,91 ,6029,1678
62 ,5.89,644.5,82.17,87 ,5052,0
63 ,5.19,653,81.14,63 ,4335,0
64 ,6.88,463,85.79,80 ,4083,617
65 ,4.83,592,87.25,90 ,4174,632
66 ,8.2,1029,87.42,84 ,4397,1091.5
67 ,8.54,839,88.23,89 ,4255,803
68 ,9.85,1093,88.22,90 ,4410,1010
69 ,11.79,606.5,77.15,79 ,3804,0
70 ,8.63,764,77.07,67 ,3125,66
71 ,7.96,513,88.04,77 ,3544,1084
72 ,6.16,758,95.58,83 ,4348,1747
73 ,8.27,705,90.04,93 ,5104,1422
74 ,10.34,787.5,92.33,68 ,5039,638
75 ,8.36,751.5,91.55,81 ,5545,116
76 ,8.38,627,84.28,76 ,5217,197
77 ,5.4,703,83.81,69 ,4869,390
78 ,4.78,769,89.61,90 ,4547,406
79 ,3.99,554,87.3,83 ,4020,0
80 ,7.14,690,97.14,73 ,6076,1735
81 ,5.94,912,86.22,100 ,5775,332
82 ,7.21,716,85.12,87 ,5321,1151
83 ,5.86,902,79.25,94 ,5335,104
84 ,8.38,657,79.12,72 ,3921,0
85 ,7.65,992,81.12,69 ,5132,1509
86 ,6.91,992,79.65,100 ,0,0
87 ,7.47,1134,83.24,97 ,4245,264
88 ,8.04,889,78.23,100 ,4251,264
89 ,5.8,519,92.67,93 ,3598,406
90 ,10.25,647,73.48,77 ,4721,203
91 ,6.97,795,75.01,83 ,3577,10
