Number,Date,Work day,TAT(no of dates),number of completion,util rate(%),attendance(%),number of backlog,number of requests,,
1 ,2025-09-01,workday,5.72,843,84.97,81 ,2987,627,,
2 ,2025-09-02,workday,5.55,872,84.42,90 ,2996,860.5,,
3 ,2025-09-03,workday,4.67,783,91.3,91 ,3173,1118,,
4 ,2025-09-04,workday,3.9,933.5,90.29,90 ,3141,883,,
5 ,2025-09-05,workday,4,809,88.06,90 ,3496,1160,,
6 ,2025-09-06,weekend,3.81,812.5,94.87,93 ,2676,146,,
7 ,2025-09-07,weekend,6.13,988.5,85.88,93 ,2100,228,,
8 ,2025-09-08,workday,4.69,769,86.6,77 ,2133,1161,,
9 ,2025-09-09,workday,7.23,762,79,75 ,2557,1273,,
10 ,2025-09-10,workday,7.23,700,79.48,74 ,2584,782,,
11 ,2025-09-11,workday,5.78,757.5,84.63,86 ,2845,974,,
12 ,2025-09-12,workday,4.48,937,81.9,83 ,2841,1642,,
13 ,2025-09-13,weekend,2.83,909,82.21,87 ,2986,37,,
14 ,2025-09-14,weekend,4.57,502,87.92,70 ,2603,16,,
15 ,2025-09-15,workday,7.87,1099,91.3,90 ,2793,974,,
16 ,2025-09-16,workday,5.13,1009,91.12,90 ,2733,806,,
17 ,2025-09-17,workday,6.55,739,86.47,93 ,3456,1434,,
18 ,2025-09-18,workday,6.4,526,83.3,100 ,3755,876,,
19 ,2025-09-19,workday,4.23,653,89.9,87 ,2786,31,,
20 ,2025-09-20,weekend,4.07,714.5,83.13,97 ,3268,118,,
21 ,2025-09-21,weekend,5.45,573.5,81.22,77 ,2715,94,,
22 ,2025-09-22,workday,4.95,767.5,84.53,83 ,3542,946,,
23 ,2025-09-23,workday,6.28,888.5,84.66,90 ,3796,1839,,
24 ,2025-09-24,workday,4.77,867,86.03,90 ,3689,724,,
25 ,2025-09-25,workday,4.1,609,88.63,82 ,4022,1134,,
26 ,2025-09-26,workday,2.72,1064,88.8,87 ,4874,2198,,
27 ,2025-09-27,weekend,5.7,750,87.94,90 ,4189,80,,
28 ,2025-09-28,weekend,6.07,964,86.22,87 ,3936,410,,
29 ,2025-09-29,workday,5.26,771,75.51,84 ,4264,1032,,
30 ,2025-09-30,workday,6.42,833,87.15,87 ,4611,1097,,
31 ,2025-10-01,workday,5.23,683,84.43,70 ,6927,2323.5,,
32 ,2025-10-02,workday,9.18,918,85.83,87 ,7001,1038,,
33 ,2025-10-03,national weekend,5.67,710,91.18,70 ,6534,640,,
34 ,2025-10-04,national weekend,6.98,621,82.34,87 ,5495,305,,
35 ,2025-10-05,national weekend,6.8,829,82.47,91 ,5095,0,,
36 ,2025-10-06,national weekend,8.58,829,82.47,81 ,5095,0,,
37 ,2025-10-07,national weekend,11.56,618,85.52,65 ,4598,46,,
38 ,2025-10-08,national weekend,14.13,626.5,87.77,76 ,4034,0,,
39 ,2025-10-09,national weekend,8.78,740,78.66,73 ,3369,186,,
40 ,2025-10-10,workday,12.15,769.5,73.31,83 ,3331,0,,
41 ,2025-10-11,weekend,12.23,509.5,72.67,83 ,2869,0,,
42 ,2025-10-12,weekend,11.36,508,73.84,90 ,2933,0,,
43 ,2025-10-13,workday,11.43,460,65.16,90 ,2495,577,,
44 ,2025-10-14,workday,9.01,652,80.22,87 ,3183,1529,,
45 ,2025-10-15,workday,8.11,1160,72.62,83 ,3122,969,,
46 ,2025-10-16,workday,7.45,804,92.03,83 ,2824,569,,
47 ,2025-10-17,workday,7.78,728,92.97,90 ,4373,2159,,
48 ,2025-10-18,weekend,4.73,941,78.23,90 ,3543,102,,
49 ,2025-10-19,weekend,7.5,804,82.95,90 ,4283,127,,
50 ,2025-10-20,workday,8.81,1145,84.91,57 ,2922,1507,,
51 ,2025-10-21,workday,3.57,992.5,88.74,81 ,3229,1096,,
52 ,2025-10-22,workday,5.6,629,91.12,97 ,3768,1200,,
53 ,2025-10-23,workday,4.25,810,91.12,86 ,4198,1096,,
54 ,2025-10-24,workday,5.45,592.5,95.13,97 ,5279,1320.5,,
55 ,2025-10-25,weekend,5.68,750,84.1,83 ,4392,17,,
56 ,2025-10-26,weekend,7.35,706,75.7,63 ,3844,3,,
57 ,2025-10-27,workday,5.68,429,70.15,73 ,3559,589,,
