Symbol,Symbol Name,1990-01-31,1990-02-28,1990-03-31,1990-04-30,1990-05-31,1990-06-30,1990-07-31,1990-08-31,1990-09-30,1990-10-31,1990-11-30,1990-12-31,1991-01-31,1991-02-28,1991-03-31,1991-04-30,1991-05-31,1991-06-30,1991-07-31,1991-08-31,1991-09-30,1991-10-31,1991-11-30,1991-12-31,1992-01-31,1992-02-29,1992-03-31,1992-04-30,1992-05-31,1992-06-30,1992-07-31,1992-08-31,1992-09-30,1992-10-31,1992-11-30,1992-12-31,1993-01-31,1993-02-28,1993-03-31,1993-04-30,1993-05-31,1993-06-30,1993-07-31,1993-08-31,1993-09-30,1993-10-31,1993-11-30,1993-12-31,1994-01-31,1994-02-28,1994-03-31,1994-04-30,1994-05-31,1994-06-30,1994-07-31,1994-08-31,1994-09-30,1994-10-31,1994-11-30,1994-12-31,1995-01-31,1995-02-28,1995-03-31,1995-04-30,1995-05-31,1995-06-30,1995-07-31,1995-08-31,1995-09-30,1995-10-31,1995-11-30,1995-12-31,1996-01-31,1996-02-29,1996-03-31,1996-04-30,1996-05-31,1996-06-30,1996-07-31,1996-08-31,1996-09-30,1996-10-31,1996-11-30,1996-12-31,1997-01-31,1997-02-28,1997-03-31,1997-04-30,1997-05-31,1997-06-30,1997-07-31,1997-08-31,1997-09-30,1997-10-31,1997-11-30,1997-12-31,1998-01-31,1998-02-28,1998-03-31,1998-04-30,1998-05-31,1998-06-30,1998-07-31,1998-08-31,1998-09-30,1998-10-31,1998-11-30,1998-12-31,1999-01-31,1999-02-28,1999-03-31,1999-04-30,1999-05-31,1999-06-30,1999-07-31,1999-08-31,1999-09-30,1999-10-31,1999-11-30,1999-12-31,2000-01-31,2000-02-29,2000-03-31,2000-04-30,2000-05-31,2000-06-30,2000-07-31,2000-08-31,2000-09-30,2000-10-31,2000-11-30,2000-12-31,2001-01-31,2001-02-28,2001-03-31,2001-04-30,2001-05-31,2001-06-30,2001-07-31,2001-08-31,2001-09-30,2001-10-31,2001-11-30,2001-12-31,2002-01-31,2002-02-28,2002-03-31,2002-04-30,2002-05-31,2002-06-30,2002-07-31,2002-08-31,2002-09-30,2002-10-31,2002-11-30,2002-12-31,2003-01-31,2003-02-28,2003-03-31,2003-04-30,2003-05-31,2003-06-30,2003-07-31,2003-08-31,2003-09-30,2003-10-31,2003-11-30,2003-12-31,2004-01-31,2004-02-29,2004-03-31,2004-04-30,2004-05-31,2004-06-30,2004-07-31,2004-08-31,2004-09-30,2004-10-31,2004-11-30,2004-12-31,2005-01-31,2005-02-28,2005-03-31,2005-04-30,2005-05-31,2005-06-30,2005-07-31,2005-08-31,2005-09-30,2005-10-31,2005-11-30,2005-12-31,2006-01-31,2006-02-28,2006-03-31,2006-04-30,2006-05-31,2006-06-30,2006-07-31,2006-08-31,2006-09-30,2006-10-31,2006-11-30,2006-12-31,2007-01-31,2007-02-28,2007-03-31,2007-04-30,2007-05-31,2007-06-30,2007-07-31,2007-08-31,2007-09-30,2007-10-31,2007-11-30,2007-12-31,2008-01-31,2008-02-29,2008-03-31,2008-04-30,2008-05-31,2008-06-30,2008-07-31,2008-08-31,2008-09-30,2008-10-31,2008-11-30,2008-12-31,2009-01-31,2009-02-28,2009-03-31,2009-04-30,2009-05-31,2009-06-30,2009-07-31,2009-08-31,2009-09-30,2009-10-31,2009-11-30,2009-12-31,2010-01-31,2010-02-28,2010-03-31,2010-04-30,2010-05-31,2010-06-30,2010-07-31,2010-08-31,2010-09-30,2010-10-31,2010-11-30,2010-12-31,2011-01-31,2011-02-28,2011-03-31,2011-04-30,2011-05-31,2011-06-30,2011-07-31,2011-08-31,2011-09-30,2011-10-31,2011-11-30,2011-12-31,2012-01-31,2012-02-29,2012-03-31,2012-04-30,2012-05-31,2012-06-30,2012-07-31,2012-08-31,2012-09-30,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-31,2013-04-30,2013-05-31,2013-06-30,2013-07-31,2013-08-31,2013-09-30,2013-10-31,2013-11-30,2013-12-31,2014-01-31,2014-02-28,2014-03-31,2014-04-30,2014-05-31,2014-06-30,2014-07-31,2014-08-31,2014-09-30,2014-10-31,2014-11-30,2014-12-31,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31,2025-06-30,2025-07-31,2025-08-31,2025-09-30,2025-10-31,2025-11-30,2025-12-11
A196170,알테오젠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,502","4,901","6,056","5,451","5,555","5,346","7,254","6,537","4,553","4,135","3,717","4,734","5,527","5,729","4,539","5,165","5,228","4,922","6,112","6,377","5,500","5,813","4,212","4,240","4,560","3,912","4,010","4,086","3,843","4,191","4,107","3,780","4,170","3,989","4,776","5,931","6,175","6,564","5,284","7,037","10,917","8,372","8,594","8,094","8,455","10,708","7,663","8,274","7,955","8,038","9,484","13,420","12,266","11,890","9,123","8,080","8,650","9,526","11,987","13,879","18,607","17,745","24,058","22,807","26,200","67,224","74,122","105,767","116,221","100,262","88,028","89,362","99,928","74,015","72,291","74,737","67,314","60,891","69,816","66,730","70,900","60,557","58,389","57,304","63,143","40,038","44,542","47,211","48,296","48,129","50,965","54,385","53,134","37,827","36,700","36,650","38,250","36,700","37,650","39,650","43,500","50,500","42,950","44,600","45,250","68,100","62,400","80,000","98,500","77,300","160,600","197,400","176,900","185,900","280,500","315,000","319,000","327,000","376,500","280,000","309,500","371,500","387,000","356,000","351,000","330,000","372,000","454,000","438,500","458,000","488,500","533,000","433,000"
A247540,에코프로비엠,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,097","15,319","14,776","14,751","14,257","14,677","12,206","12,725","12,317","13,095","13,071","20,088","15,146","18,037","29,625","29,773","34,641","38,298","33,751","30,737","37,408","42,029","45,340","40,102","40,274","44,722","43,412","52,406","71,530","79,165","115,388","101,279","134,265","123,739","81,117","92,705","98,265","117,710","126,605","113,500","119,400","112,200","88,100","115,100","113,800","92,100","99,800","166,300","224,500","267,000","249,000","249,000","419,000","324,500","253,000","196,200","274,000","288,000","213,500","266,500","274,000","238,500","191,300","183,000","179,900","168,300","184,500","170,500","135,200","109,900","131,000","119,000","96,200","101,500","89,700","100,600","111,100","121,200","113,000","160,000","149,900","176,000"
A086520,에코프로,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,011","1,430","1,213","1,425","1,025","1,004",944,968,894,"1,047","1,249","1,140",908,858,792,469,416,373,518,504,686,"1,260","1,136","1,152","1,248","1,664","1,316","1,168",934,"1,072","1,310","1,446","1,478","1,316","1,151","1,059","1,165","1,134","1,126","1,384","1,124","1,137","1,083","1,310","1,218","1,260","1,260","1,484","2,061","1,738","1,285","1,707","1,403","1,397","1,620","1,521","1,310","1,105",993,968,844,837,955,802,734,718,925,962,"1,070","1,139","1,238","1,204","1,329","1,076","1,220","1,139","1,078",853,800,875,957,952,"1,052","1,101","1,021",968,"1,018","1,131","1,009",937,992,"1,012","1,202","1,049","1,011","1,201","1,060",914,"1,088","1,546","1,620","1,558","1,378","1,297","1,316","1,825","1,782","1,552","1,533","1,850","1,720","1,607","1,237","1,372","1,359","1,549","1,645","1,835","2,102","2,553","3,747","4,102","4,204","3,613","4,699","5,004","5,099","4,451","4,966","4,610","4,782","4,286","4,852","4,998","5,423","5,010","3,969","4,191","4,134","4,128","3,480","3,448","3,226","3,423","2,775","2,559","2,407","2,642","2,489","2,851","2,604","2,889","2,261","2,565","3,099","3,740","4,610","5,982","5,696","5,398","5,779","6,432","7,558","8,322","7,403","9,681","9,148","8,457","13,456","20,838","18,465","18,708","23,941","22,393","12,426","16,485","17,552","16,390","15,723","13,645","17,019","21,898","22,050","27,062","26,681","20,209","24,094","56,016","97,808","143,229","110,463","147,938","236,819","246,629","176,780","121,647","146,761","126,944","98,495","121,254","124,197","104,185","92,608","88,390","90,548","83,975","86,919","77,501","74,656","56,409","59,842","62,200","49,650","51,000","42,800","45,150","49,300","50,600","47,450","88,000","84,500","111,400"
A298380,에이비엘바이오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000","16,900","19,450","30,150","33,800","32,450","24,200","20,450","18,450","16,900","19,200","17,950","24,150","17,650","17,350","16,900","18,200","18,300","31,000","32,000","35,500","31,100","24,900","27,700","31,100","24,200","20,300","21,850","21,450","20,950","21,900","20,100","20,000","19,100","21,350","19,050","22,100","28,050","26,350","25,900","25,350","24,200","25,200","22,200","22,850","20,600","20,050","24,200","23,000","19,560","20,800","21,300","21,050","23,350","19,440","19,160","18,200","18,960","15,910","19,770","24,600","22,000","22,800","27,100","26,000","22,650","22,500","28,600","34,600","31,000","37,500","27,200","29,900","36,350","40,350","34,450","65,200","80,600","67,200","73,900","91,600","92,400","99,700","188,000","190,000"
A277810,레인보우로보틱스,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24,750","22,900","24,400","21,600","24,550","22,400","20,750","20,500","19,050","17,850","27,150","21,750","22,800","24,200","22,200","23,050","23,200","26,550","30,800","31,050","29,300","33,050","34,450","78,200","92,600","126,800","96,100","103,900","91,700","113,900","151,500","168,600","141,000","177,400","176,000","144,100","161,400","187,500","176,900","158,500","159,500","139,800","144,300","139,900","122,500","151,700","162,700","299,500","342,500","264,000","270,500","264,500","280,500","277,000","273,500","309,000","436,500","435,000","479,000"
A141080,리가켐바이오,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,758","6,231","7,732","6,506","6,456","9,158","11,110","9,559","9,709","11,360","11,661","10,560","9,459","7,782","7,957","9,334","9,759","10,610","9,509","8,658","9,809","10,685","8,933","11,360","11,711","18,617","15,764","11,636","11,385","12,061","13,012","12,486","14,663","11,961","14,688","15,464","17,316","20,269","21,945","21,745","20,043","15,664","17,992","17,741","15,339","13,788","13,012","14,488","17,091","17,966","16,440","17,816","16,991","15,739","18,067","20,143","30,778","29,727","31,329","29,527","23,421","19,693","16,665","20,969","24,823","24,522","27,125","28,376","25,073","28,526","27,525","29,627","26,174","23,221","22,045","22,946","24,072","23,722","25,423","26,424","21,119","22,471","24,022","24,372","25,774","57,000","57,600","54,000","58,300","52,900","57,800","70,100","60,800","53,700","56,100","51,200","48,850","53,200","53,800","54,000","48,750","44,950","48,950","55,800","44,850","43,900","46,950","43,000","41,350","41,950","43,800","45,100","35,850","34,000","38,250","42,850","36,750","37,300","36,800","38,150","41,250","36,450","35,250","35,300","37,100","36,950","45,100","65,000","50,400","53,200","74,800","68,100","63,700","71,200","84,500","96,600","98,700","129,000","95,500","109,000","126,500","110,000","94,900","105,000","114,900","114,800","134,400","147,400","140,500","146,400","193,300","176,200"
A950160,코오롱티슈진,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"109,204","103,794","113,212","94,276","96,981","82,454","65,322","76,944","72,936","82,855","97,983","68,127","83,957","86,462","78,547","80,751","69,029","32,561","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","16,050","15,200","10,700","8,890","9,500","9,450","9,390","10,900","9,660","9,470","8,760","9,300","8,860","8,220","8,850","9,020","11,690","10,000","12,950","12,100","14,260","13,990","17,330","15,600","13,660","16,180","17,550","23,250","28,700","36,300","44,700","38,100","40,600","41,100","38,300","37,050","47,850","44,800","85,400","81,200"
A028300,HLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"27,615,059","36,704,075","65,073,600","81,902,980","134,635,035","163,485,400","82,544,099","80,139,902","73,728,710","70,523,114","100,976,276","110,593,064","98,572,079","96,167,882","96,167,882","84,788,016","88,153,892","92,433,207","71,892,494","70,180,768","61,622,138","64,360,900","58,198,686","53,748,198","49,554,469","59,910,412","33,045,017","24,402,538","13,548,289","7,515,982","9,780,537","8,296,863","4,743,853","6,325,138","10,893,293","17,081,777","8,628,738","7,320,761","4,451,023","5,466,169","4,431,501","1,639,851","1,874,115","2,069,335","4,372,935","4,041,060","1,553,954","1,971,725","3,369,502","1,659,373","1,061,998","788,690","1,468,057","796,499","1,222,079","1,276,741","1,132,278","1,288,454","1,557,858","1,967,821","1,913,159","1,581,284","1,401,682","1,237,697","1,030,763","901,918","667,653","546,617","546,617","1,028,160","400,852","205,632","239,470","218,647","153,573","229,058","197,823","109,323","109,323","93,706","83,294","62,470","46,853","49,456","44,250","24,728","20,823","25,629","20,183","25,629","37,803","29,794","21,464","13,295","9,931","8,490","9,130","7,849","14,096","9,130","19,702","17,620","21,624","36,201","88,099","73,683","55,423","69,530","78,578","31,466","31,851","31,676","34,476","18,166","17,431","17,851","24,326","16,801","13,686","11,393","10,150","8,960","11,568","11,760","9,328","9,800","11,060","7,525","7,910","6,668","7,245","7,175","6,510","5,740","4,533","5,880","5,198","5,215","4,218","4,323","3,973","3,535","4,760","4,340","3,780","3,343","3,308","2,240","1,610","1,750","1,575","1,278","1,663","2,345","3,168","2,345","2,590","2,450","2,608","2,240","1,978","1,803","2,275","2,415","1,610","1,873","1,715","1,575","2,205","1,890","1,715",784,875,"1,015",734,"1,487",933,"1,015","1,085",886,890,677,498,764,776,920,822,834,"1,115",742,874,896,935,"1,294","1,071","1,063","1,083","1,069","1,333","1,196","1,166","1,109","1,115",967,945,993,977,"1,079","1,083",947,"1,206","1,272","1,833","1,823","1,974","2,118","1,588","1,600","2,548","3,364","3,025","3,065","4,040","5,712","5,672","7,881","11,563","15,683","10,529","9,036","10,270","9,772","8,678","8,598","8,140","7,065","7,085","6,787","8,160","8,280","8,220","7,185","7,643","7,742","6,130","5,234","5,712","5,931","5,573","5,493","5,294","5,971","5,672","5,374","8,001","9,931","14,370","15,385","18,510","15,882","27,904","48,364","54,932","38,810","27,108","41,398","47,806","34,472","33,636","31,805","29,854","35,745","31,844","33,397","27,943","14,051","10,807","16,818","24,043","66,873","45,816","45,736","36,900","38,412","35,825","39,213","46,116","41,584","37,542","38,979","46,568","41,314","40,910","41,539","40,416","30,806","35,162","29,690","30,856","29,959","32,336","49,783","50,680","37,763","32,291","31,215","28,434","27,896","27,493","27,896","40,813","31,753","37,629","44,221","38,436","37,096","29,814","27,088","28,996","30,808","33,145","33,717","35,291","30,999","31,332","28,850","30,000","28,950","31,900","50,700","67,800","81,500","105,200","111,200","61,200","58,500","80,800","89,800","85,700","66,000","71,800","73,100","80,400","89,300","55,100","56,900","54,600","49,100","48,000","37,750","37,950","48,600","46,900","48,100"
A087010,펩트론,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30,918","24,882","22,094","18,293","29,029","31,103","30,780","23,638","25,758","24,053","22,970","22,924","23,269","20,735","21,841","19,261","16,911","18,040","18,615","17,556","19,583","20,044","19,837","23,961","19,215","19,744","21,311","22,578","27,877","30,411","36,125","31,195","31,425","31,978","26,771","23,776","21,979","25,573","29,167","20,320","23,730","22,486","21,288","23,454","20,643","20,505","18,708","14,883","12,994","11,750","11,059","12,349","12,441","18,016","12,533","14,008","14,561","13,962","15,114","17,602","18,109","18,754","19,445","14,146","15,167","15,894","14,343","13,858","17,202","13,374","12,453","12,259","11,193","11,629","11,775","10,757","8,926","10,757","8,577","9,110","10,176","9,178","9,934","9,672","8,916","9,061","8,082","7,705","8,141","7,414","8,063","7,511","7,036","6,958","7,433","13,258","22,435","37,796","32,611","28,589","33,338","39,007","23,404","22,290","27,523","28,105","35,761","47,826","63,962","48,311","49,813","88,000","81,100","101,800","97,700","87,900","92,000","163,300","232,500","188,300","293,500","309,500","300,000","270,500","340,000","268,500"
A000250,삼천당제약,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,250","2,220","1,350","1,775","2,470","1,740","1,780","1,980","1,815","1,560","1,630","1,450","1,550","1,645","1,665","1,635","2,215","2,535","1,820","1,700","1,620","1,590","1,640","1,400","1,500","1,540","1,400","1,360","1,390","1,440","1,490","1,580","1,670","1,700","1,650","1,685","1,750","1,765","1,730","1,650","1,670","1,580","1,605","1,470","1,575","1,620","1,620","1,585","1,595","1,745","1,810","2,550","3,450","2,550","2,400","3,090","6,600","6,470","4,050","6,310","5,020","5,120","3,500","3,480","3,560","3,480","3,100","2,770","2,660","2,400","3,170","2,855","2,790","2,990","2,845","2,520","2,410","2,750","2,500","2,730","2,785","3,140","3,045","3,000","2,935","2,720","2,830","2,525","3,500","2,990","3,370","3,555","3,230","2,845","2,620","2,340","1,615","1,745","1,850","1,915","1,960","2,165","2,845","2,420","2,290","2,600","2,870","2,450","2,455","2,320","2,390","2,300","2,310","2,345","2,380","2,140","2,135","2,105","2,155","2,175","2,280","2,150","2,140","2,060","2,005","2,045","2,025","2,175","2,520","3,080","2,540","1,965","2,140","2,100","2,360","2,620","2,670","2,315","2,060","2,000","2,100","2,600","2,565","2,550","2,615","2,510","2,770","2,730","2,830","3,250","4,050","5,180","4,250","5,000","4,225","4,160","4,160","4,305","4,610","4,985","4,595","5,220","6,000","7,170","8,030","9,230","8,230","9,890","12,000","11,200","9,800","10,850","10,250","11,900","11,750","11,800","11,450","10,150","9,160","9,180","9,860","9,690","9,180","9,090","8,230","8,440","8,950","9,830","10,550","9,850","8,950","9,220","9,910","8,780","11,700","12,100","14,100","14,100","14,100","14,300","15,050","13,700","12,950","12,550","13,050","12,650","15,450","39,750","35,250","38,900","46,500","45,000","34,700","39,250","45,900","47,900","31,850","41,150","38,000","45,350","50,800","47,000","45,750","39,700","37,850","33,600","31,850","34,000","33,600","31,000","35,600","28,900","39,500","32,350","30,750","41,550","36,700","48,150","58,600","55,000","53,000","58,100","82,100","60,300","65,800","51,000","51,800","53,100","54,400","56,100","55,300","49,800","47,050","42,150","43,350","34,350","36,200","35,900","45,300","44,950","33,700","34,950","35,150","31,450","30,550","44,950","43,800","48,100","51,700","80,900","75,200","62,000","54,900","63,800","87,900","76,800","61,400","71,200","77,300","64,100","71,600","140,600","104,600","119,300","146,100","182,700","158,000","139,600","135,300","99,500","148,500","184,000","185,600","165,000","140,700","146,500","147,300","206,500","192,400","215,500","234,000","216,500","229,000"
